to fall<br>Konjunktiv II Futur II<br>Singular 1,ich würde gefallen sein,Konjunktiv II Futur II to fall
to fall<br>Konjunktiv II Futur II<br>Singular 2,du würdest gefallen sein,Konjunktiv II Futur II to fall
to fall<br>Konjunktiv II Futur II<br>Singular 3,er/sie/es würde gefallen sein,Konjunktiv II Futur II to fall
to fall<br>Konjunktiv II Futur II<br>Plural 1,wir würden gefallen sein,Konjunktiv II Futur II to fall
to fall<br>Konjunktiv II Futur II<br>Plural 2,ihr würdet gefallen sein,Konjunktiv II Futur II to fall
to fall<br>Konjunktiv II Futur II<br>Plural 3,Sie würden gefallen sein,Konjunktiv II Futur II to fall
to fall<br>Imperativ Präsens<br>Singular 1,falle (du),Imperativ Präsens to fall
to fall<br>Imperativ Präsens<br>Singular 2,fallen wir,Imperativ Präsens to fall
to fall<br>Imperativ Präsens<br>Singular 3,fallt ihr,Imperativ Präsens to fall
to fall<br>Imperativ Präsens<br>Plural 1,fallen Sie,Imperativ Präsens to fall
to fall<br>Imperativ Präsens<br>Plural 2,fall (du),Imperativ Präsens to fall
to fall<br>Imperativ Präsens<br>Plural 3,fallen wir,Imperativ Präsens to fall
to fall<br>Imperativ Präsens<br>Plural 4,fallt ihr,Imperativ Präsens to fall
to fall<br>Imperativ Präsens<br>Plural 5,fallen Sie,Imperativ Präsens to fall
to fall<br>Partizip Präsens<br>Singular 1,fallend,Partizip Präsens to fall
to fall<br>Partizip Perfekt<br>Singular 1,gefallen,Partizip Perfekt to fall
to fall<br>Infinitiv Präsens<br>Singular 1,fallen,Infinitiv Präsens to fall
to fall<br>Infinitiv Perfekt<br>Singular 1,gefallen sein,Infinitiv Perfekt to fall
to fall<br>Infinitiv zu + Infinitiv<br>Singular 1,zu fallen,Infinitiv zu + Infinitiv to fall
to belong<br>Indikativ Präsens<br>Singular 1,ich gehöre,Indikativ Präsens to belong
to belong<br>Indikativ Präsens<br>Singular 2,du gehörst,Indikativ Präsens to belong
to belong<br>Indikativ Präsens<br>Singular 3,er/sie/es gehört,Indikativ Präsens to belong
to belong<br>Indikativ Präsens<br>Plural 1,wir gehören,Indikativ Präsens to belong
to belong<br>Indikativ Präsens<br>Plural 2,ihr gehört,Indikativ Präsens to belong
to belong<br>Indikativ Präsens<br>Plural 3,Sie gehören,Indikativ Präsens to belong
to belong<br>Indikativ Präteritum<br>Singular 1,ich gehörte,Indikativ Präteritum to belong
to belong<br>Indikativ Präteritum<br>Singular 2,du gehörtest,Indikativ Präteritum to belong
to belong<br>Indikativ Präteritum<br>Singular 3,er/sie/es gehörte,Indikativ Präteritum to belong
to belong<br>Indikativ Präteritum<br>Plural 1,wir gehörten,Indikativ Präteritum to belong
to belong<br>Indikativ Präteritum<br>Plural 2,ihr gehörtet,Indikativ Präteritum to belong
to belong<br>Indikativ Präteritum<br>Plural 3,Sie gehörten,Indikativ Präteritum to belong
to belong<br>Indikativ Futur I<br>Singular 1,ich werde gehören,Indikativ Futur I to belong
to belong<br>Indikativ Futur I<br>Singular 2,du wirst gehören,Indikativ Futur I to belong
to belong<br>Indikativ Futur I<br>Singular 3,er/sie/es wird gehören,Indikativ Futur I to belong
to belong<br>Indikativ Futur I<br>Plural 1,wir werden gehören,Indikativ Futur I to belong
to belong<br>Indikativ Futur I<br>Plural 2,ihr werdet gehören,Indikativ Futur I to belong
to belong<br>Indikativ Futur I<br>Plural 3,Sie werden gehören,Indikativ Futur I to belong
to belong<br>Indikativ Perfekt<br>Singular 1,ich habe gehört,Indikativ Perfekt to belong
to belong<br>Indikativ Perfekt<br>Singular 2,du hast gehört,Indikativ Perfekt to belong
to belong<br>Indikativ Perfekt<br>Singular 3,er/sie/es hat gehört,Indikativ Perfekt to belong
to belong<br>Indikativ Perfekt<br>Plural 1,wir haben gehört,Indikativ Perfekt to belong
to belong<br>Indikativ Perfekt<br>Plural 2,ihr habt gehört,Indikativ Perfekt to belong
to belong<br>Indikativ Perfekt<br>Plural 3,Sie haben gehört,Indikativ Perfekt to belong
to belong<br>Indikativ Plusquamperfekt<br>Singular 1,ich hatte gehört,Indikativ Plusquamperfekt to belong
to belong<br>Indikativ Plusquamperfekt<br>Singular 2,du hattest gehört,Indikativ Plusquamperfekt to belong
to belong<br>Indikativ Plusquamperfekt<br>Singular 3,er/sie/es hatte gehört,Indikativ Plusquamperfekt to belong
to belong<br>Indikativ Plusquamperfekt<br>Plural 1,wir hatten gehört,Indikativ Plusquamperfekt to belong
to belong<br>Indikativ Plusquamperfekt<br>Plural 2,ihr hattet gehört,Indikativ Plusquamperfekt to belong
to belong<br>Indikativ Plusquamperfekt<br>Plural 3,Sie hatten gehört,Indikativ Plusquamperfekt to belong
to belong<br>Indikativ Futur II<br>Singular 1,ich werde gehört haben,Indikativ Futur II to belong
to belong<br>Indikativ Futur II<br>Singular 2,du wirst gehört haben,Indikativ Futur II to belong
to belong<br>Indikativ Futur II<br>Singular 3,er/sie/es wird gehört haben,Indikativ Futur II to belong
to belong<br>Indikativ Futur II<br>Plural 1,wir werden gehört haben,Indikativ Futur II to belong
to belong<br>Indikativ Futur II<br>Plural 2,ihr werdet gehört haben,Indikativ Futur II to belong
to belong<br>Indikativ Futur II<br>Plural 3,Sie werden gehört haben,Indikativ Futur II to belong
to belong<br>Konjunktiv I Präsens<br>Singular 1,ich gehöre,Konjunktiv I Präsens to belong
to belong<br>Konjunktiv I Präsens<br>Singular 2,du gehörest,Konjunktiv I Präsens to belong
to belong<br>Konjunktiv I Präsens<br>Singular 3,er/sie/es gehöre,Konjunktiv I Präsens to belong
to belong<br>Konjunktiv I Präsens<br>Plural 1,wir gehören,Konjunktiv I Präsens to belong
to belong<br>Konjunktiv I Präsens<br>Plural 2,ihr gehöret,Konjunktiv I Präsens to belong
to belong<br>Konjunktiv I Präsens<br>Plural 3,Sie gehören,Konjunktiv I Präsens to belong
to belong<br>Konjunktiv I Futur I<br>Singular 1,ich werde gehören,Konjunktiv I Futur I to belong
to belong<br>Konjunktiv I Futur I<br>Singular 2,du werdest gehören,Konjunktiv I Futur I to belong
to belong<br>Konjunktiv I Futur I<br>Singular 3,er/sie/es werde gehören,Konjunktiv I Futur I to belong
to belong<br>Konjunktiv I Futur I<br>Plural 1,wir werden gehören,Konjunktiv I Futur I to belong
to belong<br>Konjunktiv I Futur I<br>Plural 2,ihr werdet gehören,Konjunktiv I Futur I to belong
to belong<br>Konjunktiv I Futur I<br>Plural 3,Sie werden gehören,Konjunktiv I Futur I to belong
to belong<br>Konjunktiv I Perfekt<br>Singular 1,ich habe gehört,Konjunktiv I Perfekt to belong
to belong<br>Konjunktiv I Perfekt<br>Singular 2,du habest gehört,Konjunktiv I Perfekt to belong
